Id,ProductId,UserId,ProfileName,Time,Score,HelpfulnessNumerator,HelpfulnessDenominator,Summary,Text
258083,B005XB5K0G,AS2I57PJ83KNK,"D. Baker ""Beatle babe""",2012-01-11,5,1,1,Great Gift,My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.
44300,B006N3I7S0,A2GZ3RYHGPXR2U,"Tom ""Tom""",2012-06-24,4,0,0,Cheaper Than Starbucks,Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.
34322,B001P3NU30,A1ZANX10ZF6LMO,djpoints,2012-06-22,1,1,1,Awful. Do Not Work And Are A Choking Hazzard,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that."
492363,B0000GHNWM,A39NTI5NUNFJ48,Lee Harstad,2007-05-28,5,5,5,If There Were Any More Stars To Give That 5 Stars...,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!"
446395,B000GZSDZI,A2OL5WLCNZVD9K,nonpareil,2011-11-29,5,0,0,"Wonderful Product, Yummy","Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets."
151850,B001EO5TRK,ASOCGX1R3ZX8D,NYRangersFan,2012-02-14,5,2,2,Mccann'S Instant Oatmeal - Maple & Brown Sugar,"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all."
120858,B003K2EXI0,A258FXO3O8EQQE,Roberta A. Ryherd,2009-04-11,5,20,20,Best Fondant!,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.
368062,B003B3OOPA,A3LBK3TI89AT4C,Tinpenny,2012-02-06,5,0,1,Coconut,I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it
154344,B0001QNMZ8,A1VKINZLHRJDB7,rijecka_sirena,2011-08-09,4,1,1,Bought It As A Present,"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude."
568077,B000L8FZMY,A24E0CIZBWMO4L,Legal beagle,2007-08-15,5,5,5,Excellent Peeler And Shredder,Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.
492898,B003TC7WN4,A1IRQWXJ4CWBW,Speed,2012-09-27,1,0,0,Beware!  Flavored Coffee...,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!"
326270,B000B6CYP2,A1YAHULOZAY6IU,Auj,2008-07-29,5,0,0,Fabulous Dressing To Liven Up Your Salad!,I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!
32044,B0062A87HA,A3C89YOH5NT8D3,chaos controller,2011-02-22,5,1,1,Great Deal!,I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.
437653,B004R9GFJU,A17SLI9GXC0LHU,Maypuppet,2012-06-03,5,0,1,Taste Good,"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes"
179196,B008XOKY1U,A3U0YIPTZX8DZ4,vee,2012-06-18,4,0,0,Re-Rating,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?"
469702,B0000VM8TK,A30JOAGFYY7IM1,KD,2012-09-12,1,4,4,Not A Good Value,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way."
146985,B005GRCWDU,A1QVLJ260F6SZD,"MBKW ""Piglet""",2012-02-18,5,3,3,Best Coffee Ever!,"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!"
21259,B002QWP89S,AKWP7LOOOF3NB,RW,2011-12-03,4,0,0,Tasty Treats,"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help."
234761,B000KV7ZGQ,AP2XB11SRN4B5,Flora,2011-01-14,1,0,0,Not A Good Toy For Chewers,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try."
473872,B003GSVSWW,A1G57UG6WFP7EW,"Jane Marshall ""Jane Marshall""",2011-07-13,5,1,1,Lovely Tea,"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift."
365005,B000EI2LLO,ACWNT6NN91Q3J,Jillith Fair,2011-07-07,5,0,0,Mae Ploy Or Bust,"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!"
180616,B000CQBZQK,A1DTWKFY5VBGJU,S. Rozycki,2007-05-17,4,0,0,"Really Good, For Decaf","I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket."
233360,B007TJGZ4A,A221NIW05HBOLX,J. Quezada,2010-06-03,5,1,1,A Guest Favorite,"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me."
158427,B000BF3AL0,A8LJLTSZ57R2Y,"B. Gardner ""AmazonShopper""",2010-07-02,3,1,1,"Son Likes Them, I Don'T...","I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store."
363914,B00872572E,A37FEBK40S8BRW,VLH,2012-06-19,3,0,2,"Good Concept, Poor Design","Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them."
426759,B00213EU7I,AG0PUADP81ADK,"jc ""gluten-free""",2009-09-19,5,0,0,Oh My Gosh Delicious!,"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!"
203993,B001QEEXCK,A3TJ7A7FO4GM47,John T. Shea,2005-12-21,5,12,13,Very Impressed,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today."
166716,B000TMS0QA,A2K9GNMX6ZX93M,wendy3330,2012-05-31,5,0,0,Fabulous!!!,"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!"
257342,B0029NLV8G,A1QBOC76MIOJYP,MyPenName,2011-11-04,5,1,1,My Cat Loves It,"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better."
86568,B0007SN7B4,A2NNK0HTZUW3P6,"M. J. Hader ""The Only""",2011-04-01,5,0,0,Love This Stuff!,"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces."
380154,B005VGZ49U,A35W3JQYP0M655,"Ambergris ""John Thomas""",2011-12-02,5,1,1,Great Tasting Low Salt Mix,"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend..."
422062,B002OVICJO,A136BYILR08J32,Angelkitty's Mom,2008-05-26,5,0,0,Liv-A-Littles Chicken Treats,"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again."
216106,B001QY04Q4,A2EO70A3IS220F,Ann Marie Ritchie,2011-08-17,5,1,1,Favorite Tea,This is my favorite tea.  It has that lovely flavor and aroma of Ceylon tea.  I drink way too many cups of it each day!  I only wish they had a decaf version.
17808,B000EVMNO6,A28DQF01VXVK41,K. Bryson,2009-12-23,5,0,0,Frog Gummies,I LOVE MY FROG GUMMY CANDY...I even shared it with the grand kids (even though I DON'T normally share with anyone).
136889,B001M1DUDU,A2BFA2D3MC3LL2,Tsu Dho Nihm,2012-03-22,5,1,1,Good Packaging - No Spills!,"I like this product enough that I used to buy at least a bottle a week locally - mostly to flavor my mineral water and ice tea, while adding some Vitamin C. I was scared to mail-order a 12-pack of glass bottles filled with liquid. I envisioned disaster. Not to worry. They were set in a special foam spacer insert and well-protected. They all arrived intact. The package was still easy to open. The price is really good. I would not hesitate to order again. Good job!"
286014,B000G32YEG,A35T8A43KFWD00,"Rye B. ""JOKI""",2011-10-20,3,0,0,Pleasant Flavor- Uneven Quality,"I've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. A few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? Some might attribute this to the fact that these beans are a product of China and while I do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. These green babies are tasty enough although the punch of the wasabi is low. Texture is reminiscent of freeze dried food but more solid. For me, the sodium level is just about right but I happen to believe that most products are too salty and that high sodium levels may have as much to do with American's expanding waist lines as HFCS. But back to the product at hand- would I order these again? Maybe, but I am more careful about each bean I pop into my mouth now. As a highly allergy sensitive individual, I can't afford to down bad beans no matter how tiny the black dots are."
38016,B0000CERZK,AJ37ZHM9OJK2R,"P. Boatman ""NonCharon""",2008-08-15,1,2,4,Disappointing,I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.
488358,B0013A0QXC,APNSHQ72ZIKOV,"Dr. Gedalia Snow Rowe ""GSR""",2009-01-15,5,0,0,Coffee Pod Shipment,We recommend buying the coffee pods through Amazon. They cost less than at the manufacturer's site.
246569,B002D4DY8G,A3EFSLEMHNPP6A,Senor Zoidbergo,2009-12-29,2,0,0,Artificial Flavor...?!,"With a legendary name like Gevalia, I was disappointed to find that the coffee contains artificial flavors.  The outside packaging looks gourmet and epicurean, with gold lettering.  Unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />The aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about.  In fact, it tasted rather bitter.<br /><br />I would not buy this item."
27076,B003ZNXCE0,A24P78ZUJ7F4T0,Karen,2012-04-19,5,0,0,Puppy Love!,My bishon/shitzu puppy loves these. They don't last as long as a rawhide more like a treat. The mini size are perfect for her!
484314,B00020HHGS,AMA4VS04DUD6B,Sydnie,2012-02-28,5,0,0,Awesome Tea,"I drank this tea at least 4 days a week during the last 6 weeks of my pregnancy.  I wish I did it the entire last trimester and everyday!  I had a 6 hour natural labor and delivery and I only pushed for 15 minutes.  My contractions, even at their most intense, only felt like strong menstrual cramps.  I brewed my tea double strength and then drank it with lemonade.  Delicious and refreshing!  Even on it's own as a hot tea, it's pretty palatable.  My last trimester was in the summer though, so I always drank it iced.  I also used Evening Primrose Oil suppositories for the last 5 weeks. I really believe that these two factors are the main reason why my labor and delivery was so fast and EASY!"
366708,B000GAT6MM,A399YZO3BLRA2R,julia,2012-02-23,5,0,0,So Yummy In A Smoothie,"These taste really great in smoothies! They add a creamy texture and a bit of a nutty flavor. What a great way to add protein to a veggie diet! Love them. They arrived fresh and packed nicely. If I ever run out of my 3 lb, I will order again from this seller."
324958,B000F8L4GG,A3VXIVJVGTVZWO,Joodly,2011-01-08,5,1,1,Almost As Good As Pay Day!,"I bought the jumbo-size bars and love being able to help myself to one at home whenever I'm in the mood.  It's that combination of sweet caramel center and salty, crunchy peanut coating that does it for me.  The boxful arrived promptly and the contents were fresh and delicious, but since every bar is wrapped in plastic, they stay fresh too.  Really a fun buy."
447100,B003VN9536,A2T135XHAH82S4,Melfi,2012-09-08,5,0,0,Excellent Product,"We love Crystal Light Fruit Punch.  Granted, this is a LARGE amount of punch but works great when mixed in a very large container.  Nice price."
155117,B000GAT6NG,A1LFATOH854151,Sue Chamberlain,2012-04-13,5,2,2,Nutiva,"I have been using Nutiva coconut oil for over a year now and I love this product, the texture, the taste.. Wonderful and light and delicious ... I have tried other brands but they have a funny after taste. I substitute coconut oil for all my cooking and baking if I can.. I use half and half with butter to cut down the cholesterol but still get a buttery taste, I float a teaspoon on my hot chocolate for quick morning energy (divine) .. I pop the pop corn in my ""whirly pop"" machine... YUMMY."
545586,B001EQ4J92,A36MVN3U2K2AV7,"Martine Charlot ""Charlie""",2010-03-26,5,0,0,Never Leave Home W/O It !,I bought this online because I couldn't find it anywhere in the stores.  The packets are easy to use and I keep several in each purse so they're always at hand.  They spruce up the H2O in my water bottles and can even keep the tab at a restaurant a bit lower (if you dare !!!) lol
322591,B000FL08AQ,A2ZXZWBVIR7HAD,"Randi L. Macdonald ""CaliPoutine~""",2007-01-19,5,11,13,Great For Diabetics,"I bought this because I'm a type 2 diabetic on Byetta.  I use it on my oatmeal and on fresh grapefruit.  I havent used it on anything else yet, but I plan to try it when I bake some granola.  Its very sweet with no aftertaste.  It also doesnt affect my blood sugar.  Great stuff."
265405,B000FL521G,ASAOZYFURR0M4,ktf,2007-06-10,5,1,1,Awesome Alternative To Refined Sugar,"Absolutely the way to go if you're cutting refined sugar.  Low glycemic index, tastes like sugar, great for diabetics."
250866,B000I4T41O,A3UUC7TKRERZBS,M. Lerbs,2008-03-06,5,1,1,Tastes Great!,"I absolutely love this product and most of the flavors.  It is not sold in stores by me any longer, so was delighted to find it here.  Much better than the same type of drink sold by the other big name company's."
374004,B000LKV7T2,AHQGI7MRN65BH,bikingbabe in MA,2012-06-22,5,0,0,Totally Addictive,"I almost do not want to purchase Green and Black chocolate as I cannot stop at one piece but devour the entire bar.  ALL their chocolate has this effect on me but particularly this almond one as the almonds are whole, not pieces, and the chocolate is SO SMOOTH that it truly melts in your mouth.  I consider it health food as it has almonds, right."
357331,B000LRH7GC,A2LFTIV6V72ILG,Indy John,2012-02-12,5,1,1,Old Boy'S Easy Bacalo,"I am the family butcher who at home, salt-cures and smokes the bacons, hams and variety meats for my family and a few friends.<br />This Salt Cured Cod was bought online again, as this Cod is not on my grocer's shelf.<br /><br />A simple man's recipe;<br />Rinse 1/2 the cod, then with a sturdy knife, cut the cod into polite size pieces.<br />In a large bowl, cover the cod with water and refrigerate. Change water and turn cod twice daily, until you soak out enough salt, taste the salt level after 4th water change.<br /><br />In a large skillet, melt a stick of butter.<br />Drain a jar of roasted sweet peppers and cut into polite size pieces.<br />Add cod and peppers to the warm skillet.<br />Bring to slow simmer for 10 minutes.<br /><br />Serve with jasmine rice or a baguette type bread.<br />Leftovers reheat quite well."
155958,B001F2GDNK,A2GCNZU5ZZWLH9,Lexie,2011-09-20,1,0,5,Unpleasant Order,My dog just smells the food and walks away. We have tried wetting the food mixing tuna fish water drained from the canned tuna.<br />Just something about the content that gives the food an smell Lexie doesn't care for.<br />Our dog is thirteen years old and is spoil to one type of dry dog food.<br />We can not recommend this product.
547723,B006HYLW32,A1LTNRGWZFY4C9,GROUCHHUNTER,2009-09-18,3,0,0,Totally Love Popchips!,"I am totally addicted to POPCHIPS!  This is a very plain flavor, but tasts ok - it is not my favorite but I can eat them.  It tates better than a plain chip - not greasy or anything.  Around 100 calories and 3 grams of fat is still a very good snack, in my opinion.  I would buy these again."
331114,B001UJCKCG,A1OEXW2VO7E8SC,Gina,2012-04-10,1,0,0,Do Not Purchase,This was gross. No other way to describe it. The pasta is horrible. There are so many other pasta options. Do not waste your money or taste buds on this.
